<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
D&J-IND,60,20110202,210000,12048.6300000,12048.7900000,12029.7900000,12044.7400000,0
D&J-IND,60,20110202,220000,12044.6600000,12051.0900000,12036.8700000,12042.7300000,0
D&J-IND,60,20110202,230000,12042.6600000,12056.4700000,12036.5600000,12053.2500000,0
D&J-IND,60,20110203,000000,12053.2100000,12057.9100000,12032.7800000,12041.6000000,0
D&J-IND,60,20110203,010000,12040.6100000,12042.5800000,12040.4600000,12041.9700000,0
D&J-IND,60,20110203,180000,12041.6700000,12041.6700000,12015.7900000,12031.6800000,0
D&J-IND,60,20110203,190000,12032.0600000,12039.5500000,11981.0500000,12025.6600000,0
D&J-IND,60,20110203,200000,12025.3600000,12046.4400000,12004.8900000,12041.6300000,0
D&J-IND,60,20110203,210000,12041.5600000,12045.2300000,12022.6400000,12039.2500000,0
D&J-IND,60,20110203,220000,12039.0600000,12043.6800000,12025.8200000,12033.9900000,0
D&J-IND,60,20110203,230000,12033.8400000,12058.7000000,12030.7000000,12053.1400000,0
D&J-IND,60,20110204,000000,12053.4400000,12080.5400000,12053.4400000,12061.2000000,0
D&J-IND,60,20110204,010000,12062.2600000,12062.7100000,12062.1800000,12062.2600000,0
D&J-IND,60,20110204,180000,12061.5000000,12077.7000000,12038.7200000,12059.6100000,0
D&J-IND,60,20110204,190000,12058.9300000,12079.7000000,12029.9800000,12041.9000000,0
D&J-IND,60,20110204,200000,12041.2600000,12058.7000000,12025.7800000,12048.5200000,0
D&J-IND,60,20110204,210000,12048.4500000,12063.6600000,12041.9400000,12063.4300000,0
D&J-IND,60,20110204,220000,12063.5800000,12074.8200000,12060.1800000,12070.8100000,0
D&J-IND,60,20110204,230000,12070.9600000,12077.2100000,12060.1000000,12077.2100000,0
D&J-IND,60,20110205,000000,12077.2800000,12092.4200000,12068.7300000,12090.1800000,0
D&J-IND,60,20110205,010000,12089.8800000,12092.1500000,12089.8800000,12092.1500000,0
D&J-IND,60,20110207,180000,12101.9200000,12149.6700000,12100.5500000,12141.2300000,0
D&J-IND,60,20110207,190000,12142.2900000,12180.4800000,12140.3300000,12177.7500000,0
D&J-IND,60,20110207,200000,12177.9000000,12188.7600000,12171.8100000,12179.2300000,0
D&J-IND,60,20110207,210000,12179.4500000,12179.4500000,12167.1500000,12167.9500000,0
D&J-IND,60,20110207,220000,12168.1000000,12179.2300000,12168.1000000,12177.7900000,0
D&J-IND,60,20110207,230000,12177.8600000,12179.2300000,12154.9300000,12162.3100000,0
D&J-IND,60,20110208,000000,12162.5400000,12172.7900000,12148.5000000,12159.9600000,0
D&J-IND,60,20110208,010000,12160.1900000,12161.5500000,12160.1900000,12161.4000000,0
D&J-IND,60,20110208,180000,12152.6200000,12176.8800000,12150.0500000,12175.3700000,0
D&J-IND,60,20110208,190000,12175.7400000,12190.8400000,12172.2600000,12182.9300000,0
D&J-IND,60,20110208,200000,12183.6900000,12201.7800000,12172.1900000,12197.3100000,0
D&J-IND,60,20110208,210000,12197.2400000,12209.6900000,12191.0300000,12202.3100000,0
D&J-IND,60,20110208,220000,12202.0100000,12205.0700000,12191.4900000,12200.7200000,0
D&J-IND,60,20110208,230000,12200.5700000,12224.6700000,12200.3400000,12214.9500000,0
D&J-IND,60,20110209,000000,12215.0200000,12238.7900000,12212.9800000,12233.0000000,0
D&J-IND,60,20110209,010000,12233.4500000,12233.9100000,12233.0800000,12233.1500000,0
D&J-IND,60,20110209,180000,12229.2900000,12235.6100000,12214.4600000,12235.5300000,0
D&J-IND,60,20110209,190000,12235.6900000,12254.2300000,12224.7100000,12241.5900000,0
D&J-IND,60,20110209,200000,12241.5100000,12245.4500000,12207.2700000,12207.2700000,0
D&J-IND,60,20110209,210000,12207.1200000,12227.6600000,12203.0300000,12213.2800000,0
D&J-IND,60,20110209,220000,12213.1700000,12234.5500000,12213.1700000,12217.1800000,0
D&J-IND,60,20110209,230000,12215.8200000,12215.8200000,12188.1900000,12196.5200000,0
D&J-IND,60,20110210,000000,12196.4400000,12240.0400000,12196.3300000,12239.8100000,0
D&J-IND,60,20110210,010000,12239.9600000,12240.0400000,12239.7400000,12239.8900000,0
D&J-IND,60,20110210,180000,12239.6600000,12239.6600000,12158.0700000,12170.7500000,0
D&J-IND,60,20110210,190000,12172.0000000,12216.6900000,12156.9400000,12198.0700000,0
D&J-IND,60,20110210,200000,12197.9600000,12228.9500000,12194.5500000,12215.7800000,0
D&J-IND,60,20110210,210000,12215.5500000,12219.6000000,12202.4200000,12202.4200000,0
D&J-IND,60,20110210,220000,12202.2000000,12210.0300000,12195.3500000,12200.9900000,0
D&J-IND,60,20110210,230000,12201.2500000,12221.0000000,12196.4800000,12202.4200000,0
D&J-IND,60,20110211,000000,12201.7400000,12237.9600000,12196.6000000,12228.0800000,0
D&J-IND,60,20110211,010000,12227.1700000,12229.3700000,12227.1700000,12229.2900000,0
D&J-IND,60,20110211,180000,12229.6700000,12229.6700000,12180.4800000,12209.5800000,0
D&J-IND,60,20110211,190000,12210.5200000,12255.9700000,12207.9100000,12254.8000000,0
D&J-IND,60,20110211,200000,12254.6100000,12278.2600000,12239.0200000,12245.6000000,0
D&J-IND,60,20110211,210000,12245.0700000,12251.5000000,12224.6400000,12246.6600000,0
D&J-IND,60,20110211,220000,12246.4300000,12257.5200000,12245.6000000,12256.7300000,0
D&J-IND,60,20110211,230000,12256.6500000,12284.3500000,12255.9300000,12276.2500000,0
D&J-IND,60,20110212,000000,12276.4800000,12285.9400000,12263.2700000,12275.0000000,0
D&J-IND,60,20110212,010000,12275.7600000,12275.7600000,12273.2600000,12273.2600000,0
D&J-IND,60,20110214,180000,12267.9700000,12270.3100000,12239.2100000,12247.4900000,0
D&J-IND,60,20110214,190000,12246.8100000,12261.3000000,12236.4800000,12242.3500000,0
D&J-IND,60,20110214,200000,12242.8000000,12257.3700000,12235.9100000,12255.3300000,0
D&J-IND,60,20110214,210000,12255.2500000,12271.2600000,12254.3800000,12266.0000000,0
D&J-IND,60,20110214,220000,12266.1100000,12267.0200000,12256.3500000,12261.1500000,0
D&J-IND,60,20110214,230000,12260.9600000,12273.5700000,12256.9900000,12272.0100000,0
D&J-IND,60,20110215,000000,12272.3200000,12276.2100000,12260.7400000,12268.4200000,0
D&J-IND,60,20110215,010000,12267.5100000,12268.3400000,12267.5100000,12268.1900000,0
D&J-IND,60,20110215,180000,12266.6800000,12267.6600000,12212.1900000,12230.6200000,0
D&J-IND,60,20110215,190000,12230.3900000,12236.0300000,12199.2800000,12213.5100000,0
D&J-IND,60,20110215,200000,12213.6200000,12237.8800000,12213.6200000,12220.2100000,0
D&J-IND,60,20110215,210000,12220.1300000,12235.3100000,12214.6100000,12229.5200000,0
D&J-IND,60,20110215,220000,12229.5900000,12235.1200000,12218.0500000,12220.6600000,0
D&J-IND,60,20110215,230000,12220.7400000,12221.1900000,12193.2700000,12212.3800000,0
D&J-IND,60,20110216,000000,12212.3000000,12226.8700000,12203.3300000,12225.8100000,0
D&J-IND,60,20110216,010000,12224.7500000,12226.6400000,12224.0700000,12226.6400000,0
D&J-IND,60,20110216,180000,12219.7900000,12276.0300000,12219.7900000,12275.6100000,0
D&J-IND,60,20110216,190000,12275.3100000,12303.1600000,12261.6500000,12300.3200000,0
D&J-IND,60,20110216,200000,12300.0200000,12301.3000000,12271.2200000,12279.3900000,0
D&J-IND,60,20110216,210000,12279.6200000,12281.7000000,12234.5100000,12268.7200000,0
D&J-IND,60,20110216,220000,12268.4200000,12285.6700000,12260.4000000,12285.6700000,0
D&J-IND,60,20110216,230000,12285.7500000,12291.3100000,12265.3900000,12285.2200000,0
D&J-IND,60,20110217,000000,12285.1500000,12295.4400000,12275.5700000,12286.2800000,0
D&J-IND,60,20110217,010000,12286.5800000,12288.3200000,12286.5800000,12288.1700000,0
D&J-IND,60,20110217,180000,12286.8100000,12287.8700000,12253.2400000,12258.6600000,0
D&J-IND,60,20110217,190000,12265.9200000,12286.3600000,12259.4900000,12280.1900000,0
D&J-IND,60,20110217,200000,12280.5700000,12302.4000000,12277.8800000,12295.8200000,0
D&J-IND,60,20110217,210000,12295.6300000,12301.8700000,12291.6500000,12292.0300000,0
D&J-IND,60,20110217,220000,12292.1800000,12320.5300000,12292.1100000,12316.5900000,0
D&J-IND,60,20110217,230000,12316.6300000,12324.5400000,12311.9400000,12320.3400000,0
D&J-IND,60,20110218,000000,12320.2600000,12331.3100000,12314.6200000,12317.8400000,0
D&J-IND,60,20110218,010000,12315.9500000,12318.1400000,12315.9500000,12318.1400000,0
D&J-IND,60,20110218,180000,12319.3500000,12338.2700000,12303.2300000,12337.7100000,0
D&J-IND,60,20110218,190000,12336.8400000,12347.4300000,12325.6700000,12340.0500000,0
D&J-IND,60,20110218,200000,12340.2800000,12363.4000000,12339.0700000,12360.8700000,0
D&J-IND,60,20110218,210000,12360.9800000,12375.0200000,12359.7700000,12370.3300000,0
D&J-IND,60,20110218,220000,12370.5500000,12373.9200000,12355.6400000,12368.4700000,0
D&J-IND,60,20110218,230000,12368.4000000,12374.6800000,12346.8600000,12369.4600000,0
D&J-IND,60,20110219,000000,12370.8200000,12391.2900000,12359.5000000,12390.2700000,0
D&J-IND,60,20110219,010000,12390.4200000,12391.2500000,12390.4200000,12391.2500000,0
D&J-IND,60,20110222,180000,12389.8200000,12389.8200000,12270.2400000,12337.6700000,0
D&J-IND,60,20110222,190000,12341.4500000,12354.6600000,12320.3800000,12326.9600000,0
D&J-IND,60,20110222,200000,12329.0800000,12330.1400000,12274.5100000,12280.4500000,0
D&J-IND,60,20110222,210000,12280.9100000,12284.6900000,12222.9300000,12231.0300000,0
D&J-IND,60,20110222,220000,12231.0300000,12242.1600000,12198.3000000,12216.4600000,0
D&J-IND,60,20110222,230000,12216.3900000,12235.2300000,12203.2900000,12215.8600000,0
D&J-IND,60,20110223,000000,12216.0800000,12223.8000000,12176.3100000,12213.4700000,0
D&J-IND,60,20110223,010000,12213.0200000,12213.0200000,12212.2600000,12212.7900000,0
D&J-IND,60,20110223,180000,12211.8100000,12221.1200000,12169.8000000,12173.8100000,0
D&J-IND,60,20110223,190000,12174.2700000,12200.6100000,12153.9100000,12185.1300000,0
D&J-IND,60,20110223,200000,12185.5100000,12195.7300000,12141.8800000,12142.4400000,0
D&J-IND,60,20110223,210000,12146.3000000,12146.3800000,12094.5000000,12106.2700000,0
D&J-IND,60,20110223,220000,12106.3400000,12113.9500000,12063.4300000,12103.3500000,0
D&J-IND,60,20110223,230000,12103.2800000,12127.7200000,12097.1100000,12127.7200000,0
D&J-IND,60,20110224,000000,12127.7600000,12147.8200000,12100.5200000,12111.0000000,0
D&J-IND,60,20110224,010000,12108.5000000,12108.5800000,12105.7800000,12105.7800000,0
D&J-IND,60,20110224,180000,12105.5500000,12127.5000000,12074.5200000,12115.2000000,0
D&J-IND,60,20110224,190000,12114.7100000,12129.6200000,12073.1200000,12081.2200000,0
D&J-IND,60,20110224,200000,12081.1400000,12084.7400000,12033.5400000,12046.7400000,0
D&J-IND,60,20110224,210000,12044.1700000,12051.0600000,12015.4100000,12047.3500000,0
D&J-IND,60,20110224,220000,12047.2000000,12053.9300000,11983.1700000,11996.6400000,0
D&J-IND,60,20110224,230000,11996.8700000,12074.9300000,11996.6400000,12061.5800000,0
D&J-IND,60,20110225,000000,12058.3600000,12102.1400000,12047.9200000,12067.1800000,0
D&J-IND,60,20110225,010000,12067.7800000,12068.7300000,12067.3700000,12068.5000000,0
D&J-IND,60,20110225,180000,12063.6200000,12120.0000000,12062.8600000,12117.5100000,0
D&J-IND,60,20110225,190000,12116.8600000,12139.7200000,12115.6100000,12133.5500000,0
D&J-IND,60,20110225,200000,12133.9300000,12135.4100000,12095.2900000,12110.2000000,0
D&J-IND,60,20110225,210000,12109.1400000,12129.0900000,12106.0800000,12128.9700000,0
D&J-IND,60,20110225,220000,12128.7500000,12151.0300000,12125.0700000,12136.3100000,0
D&J-IND,60,20110225,230000,12136.3900000,12150.3500000,12129.3100000,12137.8300000,0
D&J-IND,60,20110226,000000,12137.6800000,12143.8100000,12120.8700000,12132.6400000,0
D&J-IND,60,20110226,010000,12132.7200000,12133.0200000,12130.4500000,12130.4500000,0
D&J-IND,60,20110228,180000,12130.4500000,12211.4300000,12130.4500000,12207.5700000,0
D&J-IND,60,20110228,190000,12206.9600000,12233.0400000,12201.4400000,12224.3000000,0
D&J-IND,60,20110228,200000,12224.1400000,12227.1300000,12193.8700000,12201.6300000,0
D&J-IND,60,20110228,210000,12201.7800000,12217.3700000,12190.9200000,12191.3700000,0
D&J-IND,60,20110228,220000,12191.3400000,12191.7900000,12171.6600000,12171.9600000,0
D&J-IND,60,20110228,230000,12171.8900000,12210.4500000,12163.2200000,12210.3700000,0
