days,<TIME>,<OPEN>
364,16,11581.97
367,9,11580.76
367,10,11694.06
367,11,11702.01
367,12,11701.55
367,13,11699.39
367,14,11705.83
369,9,11689.74
369,10,11669.01
369,11,11680.74
369,12,11718.62
369,13,11735.34
369,14,11736.63
369,15,11728.12
369,16,11724.71
370,9,11717.54
370,10,11708.89
370,11,11707.04
370,12,11683.8
370,13,11690.31
370,14,11699.96
370,15,11680.81
370,16,11694.21
371,9,11694.82
371,10,11690.16
371,11,11685.47
371,12,11654.59
371,13,11626.7
371,14,11639.72
371,15,11656.82
371,16,11674.15
374,9,11672.94
374,10,11580.12
374,11,11604.15
374,12,11631.58
374,13,11628.02
374,14,11631.88
374,15,11641.69
374,16,11637.67
375,9,11638.51
375,10,11673.06
375,11,11689.14
375,12,11690.8
375,13,11697.96
375,14,11651.41
375,15,11665.41
375,16,11672.64
376,9,11673.62
376,10,11727.96
376,11,11754.72
376,12,11768.72
376,13,11765.84
376,14,11767.89
376,15,11762.36
376,16,11755.74
377,9,11754.45
377,10,11742.53
377,11,11736.48
377,12,11735.27
377,13,11735.12
377,14,11727.85
377,15,11709.91
377,16,11731.22
378,9,11732.13
378,10,11725.47
378,11,11747.34
378,12,11751.69
378,13,11762.1
378,14,11782.12
378,15,11782.31
378,16,11786.01
382,9,11784.12
382,10,11814.66
382,11,11832.37
382,12,11851.37
382,13,11849.89
382,14,11843.61
382,15,11850.0
382,16,11837.1
383,9,11834.89
383,10,11840.66
383,11,11835.13
383,12,11836.61
383,13,11821.09
383,14,11839.37
383,15,11814.62
383,16,11825.75
384,9,11823.7
384,10,11814.28
384,11,11747.79
384,12,11782.19
384,13,11809.7
384,14,11822.19
384,15,11831.12
384,16,11824.69
385,9,11824.61
385,10,11900.56
385,11,11875.93
385,12,11867.94
385,13,11860.11
385,14,11877.93
385,15,11875.96
385,16,11872.82
388,9,11874.03
388,10,11898.55
388,11,11928.37
388,12,11951.68
388,13,11954.3
388,14,11970.42
388,15,11958.8
388,16,11979.91
389,9,11980.9
389,10,11971.06
389,11,11954.75
389,12,11921.15
389,13,11951.23
389,14,11940.86
389,15,11916.26
389,16,11976.89
390,9,11978.85
390,10,11983.89
390,11,11991.34
390,12,11979.42
390,13,12000.58
390,14,12004.51
390,15,12007.88
390,16,11985.36
391,9,11985.36
391,10,12001.86
391,11,12006.9
391,12,11986.04
391,13,12002.13
391,14,11996.53
391,15,11998.84
391,16,11989.68
392,9,11990.36
392,10,11988.77
392,11,11917.4
392,12,11853.56
392,13,11852.35
392,14,11850.87
392,15,11839.14
392,16,11825.29
395,9,11824.23
395,10,11825.82
395,11,11854.36
395,12,11853.03
395,13,11876.04
395,14,11868.17
395,15,11854.51
395,16,11890.08
396,9,11892.5
396,10,11966.75
396,11,11986.95
396,12,11996.98
396,13,12038.04
396,14,12027.06
396,15,12035.31
396,16,12036.07
397,9,12030.7
397,10,12042.13
397,11,12042.5
397,12,12048.63
397,13,12044.66
397,14,12042.66
397,15,12053.21
397,16,12040.61
398,9,12041.67
398,10,12032.06
398,11,12025.36
398,12,12041.56
398,13,12039.06
398,14,12033.84
398,15,12053.44
398,16,12062.26
399,9,12061.5
399,10,12058.93
399,11,12041.26
399,12,12048.45
399,13,12063.58
399,14,12070.96
399,15,12077.28
399,16,12089.88
402,9,12101.92
402,10,12142.29
402,11,12177.9
402,12,12179.45
402,13,12168.1
402,14,12177.86
402,15,12162.54
402,16,12160.19
403,9,12152.62
403,10,12175.74
403,11,12183.69
403,12,12197.24
403,13,12202.01
403,14,12200.57
403,15,12215.02
403,16,12233.45
404,9,12229.29
404,10,12235.69
404,11,12241.51
404,12,12207.12
404,13,12213.17
404,14,12215.82
404,15,12196.44
404,16,12239.96
405,9,12239.66
405,10,12172.0
405,11,12197.96
405,12,12215.55
405,13,12202.2
405,14,12201.25
405,15,12201.74
405,16,12227.17
406,9,12229.67
406,10,12210.52
406,11,12254.61
406,12,12245.07
406,13,12246.43
406,14,12256.65
406,15,12276.48
406,16,12275.76
409,9,12267.97
409,10,12246.81
409,11,12242.8
409,12,12255.25
409,13,12266.11
409,14,12260.96
409,15,12272.32
409,16,12267.51
410,9,12266.68
410,10,12230.39
410,11,12213.62
410,12,12220.13
410,13,12229.59
410,14,12220.74
410,15,12212.3
410,16,12224.75
411,9,12219.79
411,10,12275.31
411,11,12300.02
411,12,12279.62
411,13,12268.42
411,14,12285.75
411,15,12285.15
411,16,12286.58
412,9,12286.81
412,10,12265.92
412,11,12280.57
412,12,12295.63
412,13,12292.18
412,14,12316.63
412,15,12320.26
412,16,12315.95
413,9,12319.35
413,10,12336.84
413,11,12340.28
413,12,12360.98
413,13,12370.55
413,14,12368.4
413,15,12370.82
413,16,12390.42
417,9,12389.82
417,10,12341.45
417,11,12329.08
417,12,12280.91
417,13,12231.03
417,14,12216.39
417,15,12216.08
417,16,12213.02
418,9,12211.81
418,10,12174.27
418,11,12185.51
418,12,12146.3
418,13,12106.34
418,14,12103.28
418,15,12127.76
418,16,12108.5
419,9,12105.55
419,10,12114.71
419,11,12081.14
419,12,12044.17
419,13,12047.2
419,14,11996.87
419,15,12058.36
419,16,12067.78
420,9,12063.62
420,10,12116.86
420,11,12133.93
420,12,12109.14
420,13,12128.75
420,14,12136.39
420,15,12137.68
420,16,12132.72
423,9,12130.45
423,10,12206.96
423,11,12224.14
423,12,12201.78
423,13,12191.34
423,14,12171.89
423,15,12210.63
423,16,12235.04
424,9,12228.84
424,10,12237.99
424,11,12211.96
424,12,12146.3
424,13,12142.6
424,14,12117.77
424,15,12076.75
424,16,12056.62
425,9,12057.34
425,10,12083.83
425,11,12101.27
425,12,12027.82
425,13,12074.56
425,14,12051.32
425,15,12087.12
425,16,12065.97
426,9,12070.66
426,10,12224.45
426,11,12234.55
426,12,12249.69
426,13,12248.51
426,14,12248.33
426,15,12281.02
426,16,12259.11
427,9,12258.88
427,10,12248.89
427,11,12208.7
427,12,12162.61
427,13,12100.25
427,14,12099.34
427,15,12118.6
427,16,12166.1
430,9,12172.23
430,10,12235.57
430,11,12153.61
430,12,12090.64
430,13,12061.54
430,14,12057.22
430,15,12080.72
430,16,12092.61
431,9,12085.42
431,10,12107.44
431,11,12170.07
431,12,12243.63
431,13,12227.17
431,14,12233.98
431,15,12239.28
431,16,12214.84
432,9,12211.16
432,10,12182.75
432,11,12178.02
432,12,12224.71
432,13,12218.58
432,14,12213.62
432,15,12223.24
432,16,12213.7
433,9,12208.1
433,10,12029.18
433,11,12029.71
433,12,12068.96
433,13,12065.29
433,14,12001.18
433,15,12021.84
433,16,11984.99
434,9,11976.21
434,10,11968.64
434,11,11967.46
434,12,12002.09
434,13,12018.06
434,14,12002.88
434,15,12042.32
434,16,12042.28
437,8,12039.17
437,9,11998.34
437,10,11953.27
437,11,11924.97
437,12,11921.6
437,13,11931.55
437,14,11939.65
437,15,11991.57
438,8,11983.62
438,9,11724.79
438,10,11782.27
438,11,11789.42
438,12,11802.97
438,13,11812.77
438,14,11844.37
438,15,11853.94
439,8,11824.76
439,9,11789.61
439,10,11760.96
439,11,11712.11
439,12,11700.87
439,13,11655.42
439,14,11681.23
439,15,11615.2
440,8,11617.66
440,9,11727.93
440,10,11768.87
440,11,11740.19
440,12,11752.33
440,13,11715.7
440,14,11751.8
440,15,11772.92
441,8,11777.23
441,9,11904.23
441,10,11904.38
441,11,11885.42
441,12,11876.76
441,13,11874.68
441,14,11838.5
441,15,11859.35
444,8,11863.06
444,9,12056.62
444,10,12051.13
444,11,12043.94
444,12,12042.69
444,13,12048.1
444,14,12028.28
444,15,12035.39
445,8,12036.37
445,9,12021.69
445,10,12003.98
445,11,12029.79
445,12,12025.55
445,13,12033.84
445,14,12022.64
445,15,12016.89
446,8,12018.47
446,9,12015.11
446,10,11984.27
446,11,12006.25
446,12,12045.08
446,13,12072.66
446,14,12097.56
446,15,12085.11
447,8,12110.32
447,9,12119.66
447,10,12158.91
447,11,12159.44
447,12,12155.58
447,13,12156.48
447,14,12164.05
447,15,12172.53
448,8,12171.09
448,9,12198.34
448,10,12240.83
448,11,12243.63
448,12,12236.25
448,13,12235.61
448,14,12235.8
448,15,12220.21
451,9,12222.48
451,10,12263.35
451,11,12250.18
451,12,12245.11
451,13,12243.44
451,14,12241.82
451,15,12241.82
451,16,12201.52
452,9,12194.48
452,10,12179.95
452,11,12235.53
452,12,12258.58
452,13,12262.67
452,14,12259.15
452,15,12281.06
452,16,12278.26
453,9,12281.82
453,10,12346.22
453,11,12358.18
453,12,12349.02
453,13,12367.45
453,14,12370.14
453,15,12371.08
453,16,12349.4
454,9,12350.76
454,10,12354.55
454,11,12369.61
454,12,12337.18
454,13,12361.51
454,14,12352.28
454,15,12352.69
454,16,12323.59
455,9,12323.67
455,10,12352.96
455,11,12401.77
455,12,12415.4
455,13,12405.52
455,14,12403.51
455,15,12374.79
455,16,12372.11
458,9,12375.13
458,10,12386.9
458,11,12384.59
458,12,12396.7
458,13,12389.02
458,14,12377.63
458,15,12387.39
458,16,12398.97
459,9,12402.0
459,10,12367.56
459,11,12403.02
459,12,12427.58
459,13,12426.98
459,14,12430.15
459,15,12416.72
459,16,12393.75
460,9,12386.66
460,10,12428.91
460,11,12442.6
460,12,12400.26
460,13,12415.13
460,14,12421.45
460,15,12425.23
460,16,12428.04
461,9,12426.45
461,10,12436.17
461,11,12385.12
461,12,12386.11
461,13,12402.61
461,14,12364.16
461,15,12389.06
461,16,12406.39
462,9,12410.33
462,10,12419.86
462,11,12388.57
462,12,12398.29
462,13,12388.04
462,14,12391.52
462,15,12327.34
462,16,12377.63
465,9,12382.17
465,10,12428.68
465,11,12428.87
465,12,12418.16
465,13,12382.1
465,14,12395.53
465,15,12378.61
465,16,12380.66
466,9,12378.77
466,10,12288.06
466,11,12234.74
466,12,12257.45
466,13,12260.96
466,14,12273.83
466,15,12275.0
466,16,12264.03
467,9,12279.62
467,10,12300.43
467,11,12312.01
467,12,12251.2
467,13,12243.22
467,14,12241.85
467,15,12274.55
467,16,12270.01
468,9,12243.97
468,10,12193.23
468,11,12229.52
468,12,12233.3
468,13,12268.87
468,14,12243.44
468,15,12267.78
468,16,12289.23
469,9,12286.66
469,10,12302.86
469,11,12318.56
469,12,12328.97
469,13,12364.73
469,14,12352.16
469,15,12357.27
469,16,12343.12
472,9,12339.79
472,10,12131.89
472,11,12112.7
472,12,12138.96
472,13,12127.31
472,14,12159.36
472,15,12189.14
472,16,12200.34
473,9,12201.59
473,10,12233.68
473,11,12218.24
473,12,12219.98
473,13,12224.07
473,14,12253.62
473,15,12253.02
473,16,12266.15
474,9,12279.54
474,10,12425.99
474,11,12462.32
474,12,12463.38
474,13,12435.34
474,14,12447.9
474,15,12447.18
474,16,12454.22
475,9,12454.37
475,10,12464.21
475,11,12469.02
475,12,12487.94
475,13,12491.87
475,14,12479.69
475,15,12479.01
475,16,12503.26
479,9,12494.64
479,10,12487.14
479,11,12457.4
479,12,12465.12
479,13,12473.9
479,14,12480.67
479,15,12483.85
479,16,12480.14
480,9,12479.88
480,10,12520.97
480,11,12566.69
480,12,12595.45
480,13,12596.81
480,14,12588.41
480,15,12598.93
480,16,12595.14
481,9,12593.52
481,10,12611.53
481,11,12589.73
481,12,12613.46
481,13,12638.62
481,14,12650.73
481,15,12662.35
481,16,12693.08
482,9,12689.6
482,10,12708.9
482,11,12710.64
482,12,12707.31
482,13,12736.94
482,14,12728.12
482,15,12739.66
482,16,12760.36
483,9,12761.8
483,10,12780.83
483,11,12806.98
483,12,12823.82
483,13,12825.22
483,14,12813.76
483,15,12814.06
483,16,12809.71
486,9,12808.8
486,10,12846.72
486,11,12857.92
486,12,12834.53
486,13,12809.14
486,14,12820.19
486,15,12801.38
486,16,12806.15
487,9,12801.99
487,10,12810.54
487,11,12799.49
487,12,12828.63
487,13,12806.41
487,14,12784.39
487,15,12758.05
487,16,12805.77
488,9,12805.84
488,10,12756.8
488,11,12719.76
488,12,12701.74
488,13,12688.61
488,14,12726.83
488,15,12728.5
488,16,12720.4
489,9,12723.73
489,10,12669.35
489,11,12642.14
489,12,12677.03
489,13,12678.43
489,14,12662.69
489,15,12636.92
490,9,12581.9
490,10,12710.64
490,11,12719.79
490,12,12737.47
490,13,12684.37
490,14,12645.81
490,15,12621.25
490,16,12638.21
493,9,12638.06
493,10,12641.54
493,11,12642.26
493,12,12672.72
493,13,12694.67
493,14,12705.68
493,15,12692.59
493,16,12684.6
494,9,12683.62
494,10,12729.94
494,11,12746.4
494,12,12734.86
494,13,12733.11
494,14,12739.62
494,15,12768.19
494,16,12762.48
495,9,12748.14
495,10,12703.45
495,11,12685.28
495,12,12660.76
495,13,12618.72
495,14,12605.66
495,15,12601.27
495,16,12628.07
496,9,12630.03
496,10,12560.18
496,11,12565.25
496,12,12603.62
496,13,12639.95
496,14,12693.38
496,15,12679.95
496,16,12696.9
497,9,12693.0
497,10,12666.59
497,11,12669.92
497,12,12604.91
497,13,12570.7
497,14,12578.8
497,15,12594.05
497,16,12595.52
500,9,12583.19
500,10,12549.28
500,11,12621.25
500,12,12617.55
500,13,12583.49
500,14,12595.22
500,15,12569.83
500,16,12549.36
501,9,12538.38
501,10,12496.38
501,11,12465.57
501,12,12423.04
501,13,12409.3
501,14,12452.78
501,15,12487.48
501,16,12480.26
502,9,12471.93
502,10,12457.59
502,11,12495.81
502,12,12503.76
502,13,12514.01
502,14,12552.5
502,15,12531.68
502,16,12560.03
503,9,12557.0
503,10,12623.18
503,11,12549.17
503,12,12551.4
503,13,12589.58
503,14,12617.32
503,15,12583.91
503,16,12603.47
504,9,12604.0
504,10,12533.73
504,11,12498.38
504,12,12509.13
504,13,12562.71
504,14,12573.99
504,15,12540.27
504,16,12510.83
507,9,12466.33
507,10,12375.36
507,11,12365.07
507,12,12349.78
507,13,12363.21
507,14,12376.8
507,15,12401.74
507,16,12380.43
508,9,12382.1
508,10,12407.9
508,11,12374.91
508,12,12369.34
508,13,12364.54
508,14,12376.27
508,15,12386.07
508,16,12357.95
509,9,12354.85
509,10,12339.07
509,11,12365.03
509,12,12390.31
509,13,12394.2
509,14,12381.72
509,15,12398.78
509,16,12394.58
510,9,12377.63
510,10,12325.33
510,11,12327.04
510,12,12357.8
510,13,12396.48
510,14,12409.23
510,15,12433.22
510,16,12404.42
511,9,12397.69
511,10,12458.69
511,11,12456.27
511,12,12476.32
511,13,12457.06
511,14,12450.36
511,15,12426.71
511,16,12441.51
515,9,12446.05
515,10,12553.14
515,11,12500.43
515,12,12500.92
515,13,12489.53
515,14,12519.46
515,15,12514.16
515,16,12568.58
516,9,12569.41
516,10,12509.62
516,11,12425.23
516,12,12421.03
516,13,12380.24
516,14,12366.13
516,15,12347.43
516,16,12290.44
517,9,12290.37
517,10,12276.59
517,11,12271.33
517,12,12221.65
517,13,12249.99
517,14,12280.68
517,15,12286.09
517,16,12248.51
518,9,12244.35
518,10,12142.22
518,11,12176.77
518,12,12182.37
518,13,12203.6
518,14,12186.68
518,15,12158.87
518,16,12150.96
521,9,12150.5
521,10,12115.2
521,11,12110.73
521,12,12142.1
521,13,12136.24
521,14,12109.64
521,15,12102.52
521,16,12091.93
522,9,12092.61
522,10,12133.1
522,11,12170.64
522,12,12146.99
522,13,12158.15
522,14,12155.69
522,15,12152.17
522,16,12067.37
523,9,12066.65
523,10,12044.66
523,11,12074.82
523,12,12083.15
523,13,12087.46
523,14,12043.26
523,15,12070.66
523,16,12048.18
524,9,12053.18
524,10,12099.65
524,11,12142.1
524,12,12166.66
524,13,12162.01
524,14,12166.81
524,15,12182.44
524,16,12127.88
525,9,12124.85
525,10,12019.91
525,11,11987.41
525,12,11985.51
525,13,11990.96
525,14,11944.27
525,15,12012.53
525,16,11952.37
528,9,11945.02
528,10,12006.71
528,11,11981.69
528,12,11959.78
528,13,11949.19
528,14,11984.95
528,15,11975.64
528,16,11953.58
529,9,11955.39
529,10,12071.95
529,11,12086.44
529,12,12085.68
529,13,12095.56
529,14,12098.36
529,15,12108.99
529,16,12074.75
530,9,12029.41
530,10,11997.59
530,11,12004.55
530,12,11936.62
530,13,11899.12
530,14,11899.84
530,15,11883.8
530,16,11895.38
531,9,11896.66
531,10,11934.13
531,11,11960.54
531,12,11964.4
531,13,11965.69
531,14,11916.68
531,15,11918.46
531,16,11959.67
532,9,11965.61
532,10,12047.42
532,11,12051.44
532,12,12044.43
532,13,12005.65
532,14,11999.67
532,15,12020.71
532,16,12004.28
535,9,12003.15
535,10,12020.63
535,11,12055.75
535,12,12094.76
535,13,12072.85
535,14,12059.08
535,15,12083.34
535,16,12080.42
536,9,12082.31
536,10,12130.75
536,11,12157.35
536,12,12183.73
536,13,12182.67
536,14,12173.25
536,15,12210.18
536,16,12188.5
537,9,12186.68
537,10,12176.01
537,11,12202.46
537,12,12187.97
537,13,12198.07
537,14,12202.95
537,15,12157.05
537,16,12112.21
538,9,12108.73
538,10,11927.01
538,11,11898.4
538,12,11932.01
538,13,11953.88
538,14,11962.36
538,15,12004.44
538,16,12053.78
539,9,12049.54
539,10,12002.62
539,11,11954.3
539,12,11966.22
539,13,11952.82
539,14,11974.99
539,15,11953.99
539,16,11939.84
542,9,11934.81
542,10,11987.75
542,11,12030.58
542,12,12046.18
542,13,12035.16
542,14,12039.78
542,15,12084.77
542,16,12044.85
543,9,12043.45
543,10,12119.66
543,11,12151.15
543,12,12155.88
543,13,12161.82
543,14,12166.02
543,15,12179.95
543,16,12190.01
544,9,12188.27
544,10,12206.13
544,11,12252.07
544,12,12260.32
544,13,12265.01
544,14,12259.15
544,15,12252.11
544,16,12263.2
545,9,12263.58
545,10,12362.72
545,11,12392.77
545,12,12404.57
545,13,12390.8
545,14,12392.43
545,15,12389.44
545,16,12409.49
546,9,12412.82
546,10,12428.83
546,11,12523.55
546,12,12538.84
546,13,12544.06
546,14,12565.55
546,15,12591.06
546,16,12581.82
550,9,12585.0
550,10,12575.09
550,11,12559.08
550,12,12580.23
550,13,12579.02
550,14,12589.69
550,15,12566.42
550,16,12572.36
551,9,12562.77
551,10,12570.96
551,11,12575.88
551,12,12608.16
551,13,12640.52
551,14,12624.51
551,15,12617.09
551,16,12625.8
552,9,12629.2
552,10,12700.0
552,11,12718.55
552,12,12706.89
552,13,12717.03
552,14,12726.68
552,15,12744.69
552,16,12722.44
553,9,12714.72
553,10,12629.24
553,11,12599.72
553,12,12609.64
553,13,12606.46
553,14,12615.16
553,15,12618.57
553,16,12656.52
556,9,12655.84
556,10,12550.57
556,11,12487.64
556,12,12510.08
556,13,12505.72
556,14,12511.48
556,15,12484.57
556,16,12505.69
557,9,12504.1
557,10,12518.55
557,11,12492.86
557,12,12527.33
557,13,12510.45
557,14,12496.34
557,15,12521.43
557,16,12449.3
558,9,12449.15
558,10,12502.36
558,11,12599.38
558,12,12582.28
558,13,12584.02
558,14,12553.67
558,15,12537.25
558,16,12492.97
559,9,12496.76
559,10,12568.2
559,11,12505.01
559,12,12511.21
559,13,12457.36
559,14,12484.5
559,15,12458.76
559,16,12435.23
560,9,12447.33
560,10,12456.19
560,11,12430.65
560,12,12443.32
560,13,12439.73
560,14,12419.48
560,15,12425.8
560,16,12482.11
563,9,12475.26
563,10,12378.2
563,11,12329.8
563,12,12301.23
563,13,12330.52
563,14,12359.28
563,15,12366.54
563,16,12386.6
564,9,12389.51
564,10,12499.9
564,11,12510.83
564,12,12488.81
564,13,12512.61
564,14,12574.75
564,15,12591.1
564,16,12586.48
565,9,12583.83
565,10,12572.06
565,11,12579.1
565,12,12563.89
565,13,12574.97
565,14,12590.75
565,15,12582.77
565,16,12572.97
566,9,12567.67
566,10,12663.18
566,11,12716.77
566,12,12690.05
566,13,12732.13
566,14,12735.57
566,15,12739.55
566,16,12725.81
567,9,12724.79
567,10,12674.31
567,11,12672.0
567,12,12689.79
567,13,12700.72
567,14,12694.4
567,15,12682.67
567,16,12678.89
570,9,12679.95
570,10,12585.53
570,11,12615.99
570,12,12625.53
570,13,12642.37
570,14,12626.97
570,15,12614.48
570,16,12593.1
571,9,12591.97
571,10,12507.88
571,11,12522.83
571,12,12527.75
571,13,12530.09
571,14,12530.7
571,15,12534.11
571,16,12504.55
572,9,12494.79
572,10,12422.09
572,11,12399.81
572,12,12388.38
572,13,12387.77
572,14,12394.55
572,15,12335.13
572,16,12304.75
573,9,12304.07
573,10,12316.52
573,11,12333.2
573,12,12376.65
573,13,12346.75
573,14,12340.05
573,15,12310.65
573,16,12243.44
574,9,12235.04
574,10,12146.68
574,11,12190.16
574,12,12192.58
574,13,12163.41
574,14,12194.36
574,15,12179.49
574,16,12141.57
577,9,12148.84
577,10,12186.3
577,11,12080.42
577,12,12004.59
577,13,12046.33
577,14,12072.25
577,15,12099.95
577,16,12131.58
578,9,12111.98
578,10,12101.92
578,11,12052.53
578,12,12031.64
578,13,11977.83
578,14,11950.78
578,15,11983.96
578,16,11867.15
579,9,11867.07
579,10,11867.15
579,11,11777.99
579,12,11788.44
579,13,11779.28
579,14,11852.77
579,15,11845.39
579,16,11894.54
580,9,11893.94
580,10,11738.33
580,11,11650.24
580,12,11579.89
580,13,11606.04
580,14,11561.5
580,15,11538.87
580,16,11383.45
581,9,11383.91
581,10,11330.4
581,11,11368.32
581,12,11172.68
581,13,11503.41
581,14,11515.52
581,15,11458.68
581,16,11443.85
584,9,11434.09
584,10,11245.63
584,11,11097.3
584,12,11150.42
584,13,11116.48
584,14,10996.3
584,15,10920.31
584,16,10830.85
585,9,10814.47
585,10,10967.38
585,11,11013.4
585,12,11030.47
585,13,10981.58
585,14,10922.24
585,15,10740.15
585,16,11230.69
586,9,11220.7
586,10,10914.67
586,11,10861.43
586,12,10871.46
586,13,10905.59
586,14,10975.45
586,15,10921.03
586,16,10707.3
587,9,10748.55
587,10,10834.18
587,11,10978.32
587,12,10980.36
587,13,11105.85
587,14,11074.29
587,15,11152.32
587,16,11121.06
588,9,11142.25
588,10,11218.46
588,11,11227.92
588,12,11330.7
588,13,11289.08
588,14,11310.8
588,15,11270.65
588,16,11268.79
591,9,11277.65
591,10,11393.52
591,11,11400.97
591,12,11373.39
591,13,11420.39
591,14,11420.73
591,15,11449.9
591,16,11479.42
592,9,11470.26
592,10,11371.42
592,11,11442.41
592,12,11452.33
592,13,11356.44
592,14,11375.47
592,15,11359.69
592,16,11405.1
593,9,11389.74
593,10,11500.5
593,11,11471.78
593,12,11413.35
593,13,11370.17
593,14,11353.45
593,15,11392.76
593,16,11408.2
594,9,11406.5
594,10,11063.62
594,11,10969.47
594,12,11022.86
594,13,11005.79
594,14,10939.23
594,15,10936.28
594,16,10988.92
595,9,10986.72
595,10,10943.36
595,11,11007.08
595,12,10989.03
595,13,10956.18
595,14,10920.27
595,15,10853.14
595,16,10811.89
598,9,10825.06
598,10,10967.04
598,11,10899.19
598,12,10851.44
598,13,10930.19
598,14,10903.17
598,15,10865.33
598,16,10851.85
599,9,10854.43
599,10,10908.62
599,11,10958.27
599,12,11070.31
599,13,11080.8
599,14,11030.43
599,15,11080.8
599,16,11170.56
600,9,11173.74
600,10,11248.21
600,11,11181.72
600,12,11165.86
600,13,11181.76
600,14,11226.34
600,15,11247.34
600,16,11318.9
601,9,11325.56
601,10,11297.02
601,11,11195.0
601,12,11207.83
601,13,11152.85
601,14,11196.97
601,15,11159.51
601,16,11148.0
602,9,11133.24
602,10,11080.8
602,11,11134.12
602,12,11238.82
602,13,11286.24
602,14,11304.59
602,15,11274.81
602,16,11283.93
605,9,11289.15
605,10,11460.61
605,11,11448.05
605,12,11456.68
605,13,11492.59
605,14,11489.68
605,15,11512.3
605,16,11535.8
606,9,11530.28
606,10,11499.7
606,11,11481.92
606,12,11560.02
606,13,11506.89
606,14,11523.47
606,15,11587.19
606,16,11558.06
607,9,11563.88
607,10,11671.05
607,11,11648.19
607,12,11606.0
607,13,11668.78
607,14,11608.42
607,15,11576.98
607,16,11614.21
608,9,11614.89
608,10,11585.6
608,11,11614.55
608,12,11632.3
608,13,11587.87
608,14,11535.58
608,15,11531.23
608,16,11492.63
609,9,11475.94
609,10,11273.49
609,11,11293.43
609,12,11304.63
609,13,11312.16
609,14,11291.99
609,15,11232.35
609,16,11243.33
612,9,11240.26
612,16,11240.26
613,7,11240.26
613,8,11240.26
613,9,11240.26
613,10,10998.15
613,11,10988.1
613,12,11026.56
613,13,11037.88
613,14,11081.92
613,15,11072.48
613,16,11147.36
614,1,11139.3
614,3,11139.3
614,4,11139.3
614,7,11139.3
614,9,11137.82
614,10,11306.16
614,11,11292.27
614,12,11324.66
614,13,11342.47
614,14,11363.79
614,15,11401.53
614,16,11408.73
615,3,11414.86
615,9,11414.64
615,10,11387.54
615,11,11460.77
615,12,11397.36
615,13,11413.0
615,14,11334.83
615,15,11327.01
615,16,11299.98
616,9,11294.58
616,10,11105.07
616,11,11138.17
616,12,11002.94
616,13,11007.05
616,14,10979.52
616,15,10954.17
616,16,10999.71
619,9,10990.01
619,10,10975.17
619,11,10867.99
619,12,10902.33
619,13,10886.94
619,14,10875.09
619,15,10872.87
619,16,11057.19
620,8,11061.12
620,9,11054.99
620,10,11092.6
620,11,11056.09
620,12,11049.58
620,13,11073.24
620,14,11102.74
620,15,11094.19
620,16,11110.08
621,2,11105.85
621,9,11106.83
621,10,11123.09
621,11,11059.6
621,12,11146.62
621,13,11172.39
621,14,11218.22
621,15,11293.61
621,16,11255.5
622,3,11246.73
622,9,11249.51
622,10,11346.22
622,11,11296.98
622,12,11353.57
622,13,11376.45
622,14,11385.04
622,15,11417.34
622,16,11427.48
623,9,11433.56
623,10,11495.37
623,11,11428.97
623,12,11475.21
623,13,11511.39
623,14,11479.82
623,15,11511.43
623,16,11502.64
626,9,11506.67
626,10,11275.17
626,11,11280.54
626,12,11328.93
626,13,11291.58
626,14,11300.66
626,15,11322.78
626,16,11403.35
627,9,11401.42
627,10,11392.97
627,11,11499.75
627,12,11535.99
627,13,11530.09
627,14,11520.96
627,15,11510.94
627,16,11415.07
628,9,11408.58
628,10,11420.29
628,11,11352.13
628,12,11366.93
628,13,11359.48
628,14,11371.23
628,15,11304.22
628,16,11128.75
629,9,11113.87
629,10,10753.13
629,11,10780.99
629,12,10729.79
629,13,10764.36
629,14,10664.7
629,15,10667.85
629,16,10740.3
630,9,10723.12
630,10,10728.36
630,11,10746.63
630,12,10733.66
630,13,10717.24
630,14,10792.79
630,15,10700.42
630,16,10766.91
631,16,10771.48
632,1,10771.48
632,16,10771.48
633,9,10771.86
633,10,10835.16
633,11,10847.74
633,12,10947.55
633,13,10886.54
633,14,10892.04
633,15,10959.52
633,16,11045.47
634,9,11049.54
634,10,11300.94
634,11,11320.74
634,12,11303.97
634,13,11312.67
634,14,11350.78
634,15,11334.34
634,16,11187.49
635,9,11189.1
635,10,11299.41
635,11,11202.81
635,12,11257.84
635,13,11223.33
635,14,11105.26
635,15,11130.86
635,16,11009.86
635,23,11010.9
636,1,11010.9
636,9,11012.82
636,10,11248.35
636,11,11157.9
636,12,11184.43
636,13,11145.97
636,14,11085.83
636,15,11022.72
636,16,11141.01
637,9,11152.32
637,10,11023.86
637,11,11036.09
637,12,11109.64
637,13,11059.05
637,14,11067.68
637,15,11006.27
637,16,10920.37
638,16,10913.38
639,1,10913.38
639,16,10913.38
640,9,10899.16
640,10,10825.6
640,11,10859.08
640,12,10932.13
640,13,10806.87
640,14,10724.41
640,15,10700.77
640,16,10667.48
641,9,10650.61
641,10,10426.4
641,11,10528.36
641,12,10539.05
641,13,10568.6
641,14,10526.19
641,15,10474.5
641,16,10818.65
642,9,10800.42
642,10,10785.66
642,11,10885.28
642,12,10862.89
642,13,10826.6
642,14,10897.72
642,15,10885.1
642,16,10941.23
643,9,10940.0
643,10,10888.68
643,11,10951.28
643,12,11035.94
643,13,11026.1
643,14,11033.22
643,15,11061.07
